culture,time,dilution,plaque,PFU
a,0,1.00E+00,12,1.20E+03
a,0,1.00E-01,,
a,0,1.00E-02,,
a,0,1.00E-03,,
a,0,1.00E-04,,
b,0,1.00E+00,2,2.00E+02
b,0,1.00E-01,,
b,0,1.00E-02,,
b,0,1.00E-03,,
b,0,1.00E-04,,
c,0,1.00E+00,6,6.00E+02
c,0,1.00E-01,1,1.00E+03
c,0,1.00E-02,,
c,0,1.00E-03,,
c,0,1.00E-04,,
a,2,1.00E+00,,
a,2,1.00E-01,,
a,2,1.00E-02,,
a,2,1.00E-03,2,2.00E+05
a,2,1.00E-04,1,1.00E+06
b,2,1.00E+00,,
b,2,1.00E-01,,
b,2,1.00E-02,,
b,2,1.00E-03,4,4.00E+05
b,2,1.00E-04,,
c,2,1.00E+00,,
c,2,1.00E-01,,
c,2,1.00E-02,12,1.20E+05
c,2,1.00E-03,1,1.00E+05
c,2,1.00E-04,,
a,4,1.00E+00,,
a,4,1.00E-01,5,5.00E+03
a,4,1.00E-02,,
a,4,1.00E-03,,
a,4,1.00E-04,,
b,4,1.00E+00,,
b,4,1.00E-01,9,9.00E+03
b,4,1.00E-02,1,1.00E+04
b,4,1.00E-03,,
b,4,1.00E-04,,
c,4,1.00E+00,,
c,4,1.00E-01,,
c,4,1.00E-02,1,1.00E+04
c,4,1.00E-03,,
c,4,1.00E-04,,
a,6,1.00E+00,19,1.90E+03
a,6,1.00E-01,,
a,6,1.00E-02,,
a,6,1.00E-03,,
a,6,1.00E-04,,
b,6,1.00E+00,6,6.00E+02
b,6,1.00E-01,1,1.00E+03
b,6,1.00E-02,,
b,6,1.00E-03,,
b,6,1.00E-04,,
c,6,1.00E+00,7,7.00E+02
c,6,1.00E-01,1,1.00E+03
c,6,1.00E-02,,
c,6,1.00E-03,,
c,6,1.00E-04,,
a,8,1.00E+00,22,2.20E+03
a,8,1.00E-01,1,1.00E+03
a,8,1.00E-02,,
a,8,1.00E-03,1,1.00E+05
a,8,1.00E-04,,
b,8,1.00E+00,18,1.80E+03
b,8,1.00E-01,,
b,8,1.00E-02,,
b,8,1.00E-03,,
b,8,1.00E-04,,
c,8,1.00E+00,7,7.00E+02
c,8,1.00E-01,1,1.00E+03
c,8,1.00E-02,,
c,8,1.00E-03,,
c,8,1.00E-04,,
