sample,replicate,time,od
LB,a,0,0.079
LB,b,0,0.082
LB,c,0,0.078
LB,d,0,0.08
host,a,0,0.13
host,a,0.5,0.135
host,a,1,0.143
host,a,2,0.154
host,a,4,0.222
host,a,6,0.457
host,a,24,0.794
host,b,0,0.131
host,b,0.5,0.147
host,b,1,0.132
host,b,2,0.158
host,b,4,0.238
host,b,6,0.541
host,b,24,0.894
host,c,0,0.13
host,c,0.5,0.13
host,c,1,0.138
host,c,2,0.17
host,c,4,0.237
host,c,6,0.464
host,c,24,0.729
lysogen,a,0,0.13
lysogen,a,0.5,0.144
lysogen,a,1,0.137
lysogen,a,2,0.156
lysogen,a,4,0.22
lysogen,a,6,0.513
lysogen,a,24,0.904
lysogen,b,0,0.131
lysogen,b,0.5,0.139
lysogen,b,1,0.137
lysogen,b,2,0.158
lysogen,b,4,0.221
lysogen,b,6,0.51
lysogen,b,24,0.837
lysogen,c,0,0.132
lysogen,c,0.5,0.136
lysogen,c,1,0.136
lysogen,c,2,0.16
lysogen,c,4,0.242
lysogen,c,6,0.543
lysogen,c,24,0.923
