sample,replicate,time,plaque,dilution
host,a,0,11,1.00E+00
host,a,0,5,1.00E-01
host,a,0,0,1.00E-02
host,a,0,0,1.00E-03
host,a,0.5,1,1.00E+00
host,a,0.5,0,1.00E-01
host,a,0.5,0,1.00E-02
host,a,0.5,0,1.00E-03
host,a,1,0,1.00E+00
host,a,1,0,1.00E-01
host,a,1,0,1.00E-02
host,a,1,0,1.00E-03
host,a,2,3,1.00E+00
host,a,2,0,1.00E-01
host,a,2,0,1.00E-02
host,a,2,0,1.00E-03
host,a,4,,1.00E+00
host,a,4,7,1.00E-01
host,a,4,0,1.00E-02
host,a,4,0,1.00E-03
host,a,6,,1.00E+00
host,a,6,,1.00E-01
host,a,6,7,1.00E-02
host,a,6,8,1.00E-03
host,a,24,0,1.00E+00
host,a,24,0,1.00E-01
host,a,24,0,1.00E-02
host,a,24,0,1.00E-03
lysogen,a,0,6,1.00E+00
lysogen,a,0,4,1.00E-01
lysogen,a,0,2,1.00E-02
lysogen,a,0,1,1.00E-03
lysogen,a,0.5,1,1.00E+00
lysogen,a,0.5,0,1.00E-01
lysogen,a,0.5,0,1.00E-02
lysogen,a,0.5,0,1.00E-03
lysogen,a,1,0,1.00E+00
lysogen,a,1,0,1.00E-01
lysogen,a,1,0,1.00E-02
lysogen,a,1,0,1.00E-03
lysogen,a,2,0,1.00E+00
lysogen,a,2,0,1.00E-01
lysogen,a,2,0,1.00E-02
lysogen,a,2,0,1.00E-03
lysogen,a,4,,1.00E+00
lysogen,a,4,23,1.00E-01
lysogen,a,4,2,1.00E-02
lysogen,a,4,0,1.00E-03
lysogen,a,6,,1.00E+00
lysogen,a,6,25,1.00E-01
lysogen,a,6,7,1.00E-02
lysogen,a,6,0,1.00E-03
lysogen,a,24,0,1.00E+00
lysogen,a,24,0,1.00E-01
lysogen,a,24,0,1.00E-02
lysogen,a,24,0,1.00E-03
host,b,0,0,1.00E+00
host,b,0,0,1.00E-01
host,b,0,1,1.00E-02
host,b,0,0,1.00E-03
host,b,0.5,0,1.00E+00
host,b,0.5,0,1.00E-01
host,b,0.5,0,1.00E-02
host,b,0.5,0,1.00E-03
host,b,1,0,1.00E+00
host,b,1,0,1.00E-01
host,b,1,0,1.00E-02
host,b,1,0,1.00E-03
host,b,2,3,1.00E+00
host,b,2,0,1.00E-01
host,b,2,0,1.00E-02
host,b,2,0,1.00E-03
host,b,4,20,1.00E+00
host,b,4,5,1.00E-01
host,b,4,0,1.00E-02
host,b,4,0,1.00E-03
host,b,6,,1.00E+00
host,b,6,,1.00E-01
host,b,6,13,1.00E-02
host,b,6,8,1.00E-03
host,b,24,0,1.00E+00
host,b,24,0,1.00E-01
host,b,24,0,1.00E-02
host,b,24,0,1.00E-03
lysogen,b,0,6,1.00E+00
lysogen,b,0,2,1.00E-01
lysogen,b,0,0,1.00E-02
lysogen,b,0,0,1.00E-03
lysogen,b,0.5,5,1.00E+00
lysogen,b,0.5,0,1.00E-01
lysogen,b,0.5,0,1.00E-02
lysogen,b,0.5,0,1.00E-03
lysogen,b,1,0,1.00E+00
lysogen,b,1,0,1.00E-01
lysogen,b,1,0,1.00E-02
lysogen,b,1,0,1.00E-03
lysogen,b,2,1,1.00E+00
lysogen,b,2,0,1.00E-01
lysogen,b,2,0,1.00E-02
lysogen,b,2,0,1.00E-03
lysogen,b,4,,1.00E+00
lysogen,b,4,10,1.00E-01
lysogen,b,4,1,1.00E-02
lysogen,b,4,1,1.00E-03
lysogen,b,6,,1.00E+00
lysogen,b,6,30,1.00E-01
lysogen,b,6,4,1.00E-02
lysogen,b,6,0,1.00E-03
lysogen,b,24,0,1.00E+00
lysogen,b,24,0,1.00E-01
lysogen,b,24,0,1.00E-02
lysogen,b,24,0,1.00E-03
host,c,0,15,1.00E+00
host,c,0,0,1.00E-01
host,c,0,0,1.00E-02
host,c,0,0,1.00E-03
host,c,0.5,1,1.00E+00
host,c,0.5,0,1.00E-01
host,c,0.5,0,1.00E-02
host,c,0.5,0,1.00E-03
host,c,1,0,1.00E+00
host,c,1,0,1.00E-01
host,c,1,0,1.00E-02
host,c,1,0,1.00E-03
host,c,2,5,1.00E+00
host,c,2,0,1.00E-01
host,c,2,0,1.00E-02
host,c,2,0,1.00E-03
host,c,4,,1.00E+00
host,c,4,6,1.00E-01
host,c,4,1,1.00E-02
host,c,4,0,1.00E-03
host,c,6,,1.00E+00
host,c,6,,1.00E-01
host,c,6,23,1.00E-02
host,c,6,17,1.00E-03
host,c,24,0,1.00E+00
host,c,24,0,1.00E-01
host,c,24,0,1.00E-02
host,c,24,0,1.00E-03
lysogen,c,0,30,1.00E+00
