"genome"	"species_cluster"	"genus_cluster"
"CP162593.1_Pseudomonas_sp._B26140_plasmid_unnamed1,_complete_sequence"	7	5
"CP115281.1_Pseudomonas_aeruginosa_strain_F010_plasmid_pF010_1,_complete_sequence"	6	3
"CP096940.1_Pseudomonas_aeruginosa_strain_NY5520_plasmid_pNY5520-NR,_complete_sequence"	4	3
"CP194203.1_Pseudomonas_aeruginosa_strain_CRPA_64_plasmid_unnamed1"	8	3
"AP022474.1_Pseudomonas_monteilii_STW0522-72_plasmid_pSTW0522-72-1_DNA,_complete_sequence"	1	1
"CP075795.1Pseudomonas_aeruginosa_strain_PaLo418_plasmid_pPHPALO418,_complete_sequence"	3	1
"contig_009"	2	2
"CP102178.1_Pseudomonas_corrugata_strain_B21-055_plasmid_pPcorr-B21-055,_complete_sequence"	5	4
